path,visitors,total,clicks,impressions,action,local,source_file,sources,initial_status,initial_redirect,final_status,final_url,curl_error
/conceptos-basicos/que-es-el-visor-de-la-camara-y-como-funciona/,2.0,2.0,1.0,3.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-es-el-visor-de-la-camara-y-como-funciona/,
/consejos/12-herramientas-de-seleccion-de-photoshop-que-debes-conocer/,2.0,2.0,1.0,12.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/consejos/12-herramientas-de-seleccion-de-photoshop-que-debes-conocer/,
/paisaje-naturaleza/paisajes-con-lineas/,2.0,2.0,1.0,42.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/paisaje-naturaleza/paisajes-con-lineas/,
/resenas/nikon-50mm-f-1-2-ai-s/,2.0,2.0,1.0,3.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/resenas/nikon-50mm-f-1-2-ai-s/,
/tutoriales-de-fotografia/guia-completa-de-fotografia-en-blanco-y-negro/,2.0,2.0,1.0,5.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/tutoriales-de-fotografia/guia-completa-de-fotografia-en-blanco-y-negro/,
/equipo/,2.0,3.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/equipo/,
/inspiracion/frases-sobre-fotos/,2.0,2.0,0.0,2.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/inspiracion/frases-sobre-fotos/,
/localizaciones/,2.0,2.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/localizaciones/,
/post-produccion/como-fusionar-capas-en-photoshop-explicacion-de-los-modos-de-fusion/,2.0,2.0,0.0,35.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/post-produccion/como-fusionar-capas-en-photoshop-explicacion-de-los-modos-de-fusion/,
/post-produccion/como-utilizar-la-herramienta-pincel-corrector-puntual-en-photoshop-paso-a-paso/,2.0,2.0,0.0,13.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/post-produccion/como-utilizar-la-herramienta-pincel-corrector-puntual-en-photoshop-paso-a-paso/,
/resenas/,2.0,2.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/resenas/,
/retrato/,2.0,2.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/retrato/,
/tutoriales-de-fotografia/,2.0,2.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/tutoriales-de-fotografia/,
/inspiracion/las-23-mejores-peliculas-de-fotografia-todo-fotografo-debe-verlas/,1.0,1.0,6.0,21.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/inspiracion/las-23-mejores-peliculas-de-fotografia-todo-fotografo-debe-verlas/,
/equipo/las-12-mejores-camaras-para-fotografia-de-conciertos/,1.0,1.0,4.0,8.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/equipo/las-12-mejores-camaras-para-fotografia-de-conciertos/,
/composicion/plano-semisubjetivo/,1.0,1.0,3.0,6.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/composicion/plano-semisubjetivo/,
/conceptos-basicos/shutter-significado/,1.0,1.0,3.0,523.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/shutter-significado/,
